WKT,navn,beskrivelse
"POINT (10.6408394 59.9104012)",Punkt 1,Quiz A
"POINT (10.6424371 59.9096965)",Punkt 2,Quiz B
"POINT (10.64052 59.91123)",Punkt 3,Ane-rol & Ei-vin
"POINT (10.6408567 59.9127671)",Punkt 4,Quiz C
"POINT (10.6354377 59.9148441)",Punkt 5,Helpdesk
