WKT,navn,beskrivelse
"POINT (10.6424041 59.9097077)",Punkt 1,Quiz A
"POINT (10.6411729 59.911645)",Punkt 2,Ane-rol & Ei-vin
"POINT (10.6415079 59.9128456)",Punkt 3,Quiz B
"POINT (10.6354722 59.9148683)",Punkt 4,Helpdesk
"POINT (10.6358693 59.9152696)",Punkt 5,Quiz C
