WKT,navn,beskrivelse
"POINT (10.64052 59.91123)",Punkt 1,Ane-vin & Ei-vin
"POINT (10.6344402 59.9142441)",Punkt 2,Quiz A
"POINT (10.6354722 59.9148683)",Punkt 3,Helpdesk
"POINT (10.6357651 59.9152661)",Punkt 4,Quiz B
"POINT (10.6373979 59.914789)",Punkt 5,Quiz C
