WKT,navn,beskrivelse
"POINT (10.6428463 59.9094854)",Punkt 1,Quiz A
"POINT (10.6410525 59.9097312)",Punkt 2,Quiz B
"POINT (10.64052 59.91123)",Punkt 3,Ane-rol & Ei-vin
"POINT (10.634329 59.9142523)",Punkt 4,Quiz C
"POINT (10.6353628 59.9148335)",Punkt 5,Helpdesk
