WKT,navn,beskrivelse
"POINT (10.6424362 59.9094062)",Punkt 1,Quiz A
"POINT (10.64052 59.91123)",Punkt 2,Ane-rol & Ei-vin
"POINT (10.6343719 59.9142468)",Punkt 3,Quiz B
"POINT (10.6353894 59.9148038)",Punkt 4,Helpdesk
"POINT (10.634475 59.9154923)",Punkt 5,Quiz C
